,CA_GM30_1,CA_GM30_10,CA_GM30_11,CA_GM30_12,CA_GM30_13a,CA_GM30_13c,CA_GM30_13d,CA_GM30_14a,CA_GM30_14b,CA_GM30_14c,CA_GM30_2,CA_GM30_3,CA_GM30_4,CA_GM30_5a,CA_GM30_5b,CA_GM30_6,CA_GM30_7a,CA_GM30_7b,CA_GM30_8,CA_GM30_9
CA_GM30_2,0.826678573184468,0.826678573184468,0.693147180559945,0.693147180559945,0.374693449441411,0.374693449441411,0.693147180559945,0.980829253011726,NA,2.07944154167984,0,0.980829253011726,0.693147180559945,1.16315080980568,0.470003629245736,0.826678573184468,NA,NA,1.67397643357167,0.693147180559945
CA_GM30_3,1.38629436111989,1.38629436111989,1.16315080980568,1.16315080980568,0.575364144903562,0.575364144903562,0.693147180559945,1.38629436111989,2.07944154167984,NA,0.980829253011726,0,1.16315080980568,0.980829253011726,0.470003629245736,1.38629436111989,1.67397643357167,2.07944154167984,1.16315080980568,0.980829253011726
CA_GM30_4,0.0645385211375712,0.133531392624523,0,0.0645385211375712,0.980829253011726,0.826678573184468,1.16315080980568,1.38629436111989,2.77258872223978,1.67397643357167,0.693147180559945,1.16315080980568,0,0.693147180559945,0.826678573184468,0.826678573184468,NA,2.77258872223978,1.67397643357167,1.16315080980568
CA_GM30_5a,0.693147180559945,0.826678573184468,0.693147180559945,0.693147180559945,1.16315080980568,0.980829253011726,1.38629436111989,1.67397643357167,2.77258872223978,NA,1.16315080980568,0.980829253011726,0.693147180559945,0,0.980829253011726,1.38629436111989,2.77258872223978,2.77258872223978,1.67397643357167,1.16315080980568
CA_GM30_5b,0.980829253011726,0.980829253011726,0.826678573184468,0.826678573184468,0.207639364778244,0.0645385211375712,0.207639364778244,0.980829253011726,1.67397643357167,2.77258872223978,0.470003629245736,0.470003629245736,0.826678573184468,0.980829253011726,0,0.826678573184468,2.07944154167984,1.67397643357167,1.16315080980568,0.693147180559945
CA_GM30_6,0.980829253011726,1.16315080980568,0.826678573184468,0.693147180559945,0.980829253011726,0.826678573184468,1.16315080980568,0.980829253011726,2.07944154167984,2.07944154167984,0.826678573184468,1.38629436111989,0.826678573184468,1.38629436111989,0.826678573184468,0,NA,2.77258872223978,1.67397643357167,0.826678573184468
CA_GM30_7a,NA,NA,NA,NA,2.07944154167984,2.07944154167984,2.77258872223978,2.07944154167984,0.980829253011726,1.16315080980568,NA,1.67397643357167,NA,2.77258872223978,2.07944154167984,NA,0,1.16315080980568,2.07944154167984,2.07944154167984
CA_GM30_7b,2.77258872223978,2.77258872223978,2.77258872223978,2.77258872223978,1.38629436111989,1.67397643357167,1.67397643357167,2.07944154167984,0.374693449441411,0.470003629245736,NA,2.07944154167984,2.77258872223978,2.77258872223978,1.67397643357167,2.77258872223978,1.16315080980568,0,2.07944154167984,2.07944154167984
CA_GM30_8,1.67397643357167,2.07944154167984,1.67397643357167,1.67397643357167,1.38629436111989,1.38629436111989,0.826678573184468,0.980829253011726,2.07944154167984,2.77258872223978,1.67397643357167,1.16315080980568,1.67397643357167,1.67397643357167,1.16315080980568,1.67397643357167,2.07944154167984,2.07944154167984,0,2.07944154167984
CA_GM30_9,1.38629436111989,1.38629436111989,1.16315080980568,1.16315080980568,0.693147180559945,0.575364144903562,1.16315080980568,0.575364144903562,2.07944154167984,NA,0.693147180559945,0.980829253011726,1.16315080980568,1.16315080980568,0.693147180559945,0.826678573184468,2.07944154167984,2.07944154167984,2.07944154167984,0
